,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
1864,מוצה,"מזנון, בית אוכל אחר למכירת פיצה/בורקס, ללא הגשת משקאות משכרים לצריכה במקום
",מזון,אבן גבירול 19 ,"מזנון, בית אוכל אחר למכירת פיצה/בורקס, ללא הגשת משקאות משכרים לצריכה במקום,","(32.073223, 34.781609)"
1865,מלון דן תל-אביב,7.1 א - בית מלון שמספר החדרים מ- 100 ומעלה.,עינוג ציבורי כללי,הירקון 99 ,"בית מלון(283 חדרים),מסעדה-לרבות צריכת משקאות משכרים.,","(32.0798417, 34.768149)"
1868,להלהלנד - חוף גורדון,"מסעדה להכנת והגשת דגים מפולטים ממקור מאושר (ללא אפיה) לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,הרברט סמואל 131 ,"מסעדה להכנת והגשת דגים מפולטים ממקור מאושר (ללא אפיה) לרבות הגשת משקאות משכרים לצריכה במקום. 
,קיוסק-מכירת ממתקים, משקאות קלים ללא אלכהול, שלגונים ודברי מאפה באריזות סגורות
,","(32.082702, 34.768641)"
1871,פלאפל גבאי,"מסעדה (ללא הכנת דגים, ללא אפיה) לרבות הגשת משקאות משכרים לצריכה במקום. (מחסן חיצוני ת.ר. 63441)",מזון,בוגרשוב 25 ,"מסעדה (ללא הכנת דגים, ללא אפיה) לרבות הגשת משקאות משכרים לצריכה במקום. (מחסן חיצוני ת.ר. 63441),","(32.0769397, 34.7699515)"
1872,פוסט קפה,"4.2ב - בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,המלך ג'ורג' 22 ,"מזנון מצומצם [הגשת תה וקפה והכנה ומכירת כריכים ,מכירת עוגות (מוכנות)    משקאות קלים.,משקאות משכרים-הגשתם לצורך צריכה במקום ההגשה.,","(32.0717182, 34.7733413)"
1875,דרגון,"מקום אחר למכירת מצרכי מזון באריזות סגורות, מכירת משקאות שלא לצריכה במקום, מכ' פירות ים קפואים",מזון,לוינסקי 46 ,"מקום אחר למכירת מצרכי מזון באריזות סגורות, מכירת משקאות שלא לצריכה במקום, מכ' פירות ים קפואים,","(32.059485, 34.77293)"
1876,מחסן מזון- סבן רחמים,מכירת מצרכי מזון באריזות סגורות מכירת משקאות שלא לצריכה במקום,מזון,החלוצים 8 ,"מכירת מצרכי מזון באריזות סגורות מכירת משקאות שלא לצריכה במקום,מכירת שימורים,","(32.060053, 34.773249)"
1880,אבני חנה,"קיוסק-מכירת ממתקים, משקאות קלים, שלגונים ודברי מאפה באריזות סגורות, מכירת כריכים מוכנים ממקור מאושר. מכ' משקאות חמים ( בכוסות חד פעמיים).",מזון,שולמית 10 ,"קיוסק-מכירת ממתקים, משקאות קלים, שלגונים ודברי מאפה באריזות סגורות, מכירת כריכים מוכנים ממקור מאושר. מכ' משקאות חמים ( בכוסות חד פעמיים).,","(32.078557, 34.775715)"
1881,אס מילנו,"4.2ב - מזנון, בית אוכל אחר, ללא הגשת משקאות משכרים לצריכה במקום
",מזון,יהודה המכבי 4 ,"4.2ב - מזנון, בית אוכל אחר, ללא הגשת משקאות משכרים לצריכה במקום
,4.7 ב - מעדניה (מרכול) - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון
,4.2ג - הכנת מזון למכירתו לצריכה מחוץ למקום הכנתו, לרבות משלוח מזון ולמעט הסעדה כמשמעותה בסעיף 4.6 ה' - הכנה ומכירת עוף בגריל ללא ישיבה במקום
,","(32.0937119, 34.7850833)"
1885,מכבסת כביסקל,מכבסה,מסחר ושונות,בן יהודה 103 ,"מכבסה,","(32.084137, 34.771887)"
1886,הוטל דה ויל,מסעדה (ללא אפיה וללא הכנת דגים )לרבות משקאות משכרים לצריכה במקום (קיים מחסן חיצוני בתיק רישוי 64737 רחוב זבוטנסקי28),מזון,דיזנגוף 230 ,"מסעדה (ללא אפיה וללא הכנת דגים )לרבות משקאות משכרים לצריכה במקום (קיים מחסן חיצוני בתיק רישוי 64737 רחוב זבוטנסקי28),","(32.089144, 34.775642)"
1887,דאטס וויט,מכבסה.,מסחר ושונות,בן יהודה 248 ,"מכבסה.,","(32.094129, 34.775376)"
1888,המסעדה אקספרס,"מסעדה (ללא דגים) , לרבות הגשת משקאות משכרים לצריכה במקום (הגשת בכלים חד פעמיים.",מזון,אלנבי 47 ,"מסעדה (ללא דגים) , לרבות הגשת משקאות משכרים לצריכה במקום (הגשת בכלים חד פעמיים.,","(32.070287, 34.77046)"
1892,"בן עמי ע.ת.מ הרצליה בע""מ","4.2ב - מזנון, בית אוכל אחר, ללא הגשת משקאות משכרים לצריכה במקום
",מזון,נחמני 3 ,"מזנון + חימום דברי מאפה ממקור מאושר כחוק לרבות צריכת משקאות משכרים במקום,","(32.066644, 34.772889)"
1893,פיצה פצה,"מסעדה + אפיה כולל הכנת בצק במקום - לרבות משקאות משכרים במקום ומשלוחים ע""י 2 קטנועים.",מזון,אבן גבירול 102 ,"מסעדה + אפיה כולל הכנת בצק במקום - לרבות משקאות משכרים במקום ומשלוחים ע""י 2 קטנועים.,","(32.083669, 34.781624)"
1896,בזאר 32,"4.2א - מסעדה (בשר בלבד) - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות הגשת משקאות משכרים לצריכה במקום.
ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,דיזנגוף 306 ,"מסעדה להכנה והגשת סושי-לרבות צריכת משקאות משכרים במקום,4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות הגשת משקאות משכרים לצריכה במקום.
ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8,","(32.0947442, 34.7765829)"
1898,מיני מרקט חברים,מכולת.,מזון,הרוגי מלכות 7 ,"מכולת.,","(32.109915, 34.832765)"
1899,יעד שירותי בלמים,מכירה ואחסנת חלקים משומשים (שיפוץ בלמים).,רכב ותחבורה,שונצינו 1 ,"מכירה ואחסנת חלקים משומשים (שיפוץ בלמים).,","(32.065545, 34.787089)"
1901,צביקה ש.ב חנויות מפעל,מכירת ואחסנת גלידות פלדמן,מזון,אבן גבירול 149 ,"מכירת ואחסנת גלידות פלדמן,","(32.090481, 34.782604)"
1902,גלידה זוקה,4.2ב - בית אוכל אחר ללא מטבח וללא הכנת מזון לרבות הגשת משקאות משכרים במקום,מזון,הרוגי מלכות 7 ,"4.2ב - בית אוכל אחר ללא מטבח וללא הכנת מזון לרבות הגשת משקאות משכרים במקום,","(32.109915, 34.832765)"
1904,מזנון שירז,"הכנה והגשת כריכים, חביתות וכל סוגי הביצים חימום והגשת שניצל מוכן  וקפוא ממקור מאושר בלבד הכנה והגשת תה וקפה + שתיה קלה.",מזון,"מזא""ה 6 ","הכנה והגשת כריכים, חביתות וכל סוגי הביצים חימום והגשת שניצל מוכן  וקפוא ממקור מאושר בלבד הכנה והגשת תה וקפה + שתיה קלה.,מכירת משקאות גלידה עוגות וממתקים,","(32.067013, 34.772111)"
1905,פירות וירקות אבי לוי,מכירת פירות וירקות,מזון,שיינקין 55 ,"מכירת פירות וירקות,","(32.0760571, 34.8150506)"
1906,ארקפה,"4.2ב - בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,אבן גבירול 72 ,"בית אוכל להכנת והגשת כריכים, סלטים כולל חביתות, חזה עוף מוכן לאכילה ממקור מאושר בחוק, לרבות הגשת משקאות משכרים לצריכה במקום.,אפיית דברי מאפה מבצק מוכן ומוקפא ממקור מאושר כחוק.,","(32.08071, 34.781487)"
1907,דראגסטור פוד,מכלת (מינימרקט),מזון,פרישמן 61 ,"מכלת (מינימרקט),מכירת בשר קפוא, עוף קפוא ודגים קפואים, בצקים קפואים.,מכירת ירקות קפואים.,מכירת פירות וירקות טריים,","(32.0797187, 34.7769194)"
1908,שניצל קומפני,מסעדה (ללא הכנת דגים)-,מזון,הארבעה 16 ,"מסעדה (ללא הכנת דגים)-,","(31.8281461, 35.2428068)"
1911,בורקס בלי הפסקה,בית אוכל הגשת בורקסים מוכנים ממקור מאושר כחוק הכלים חד פעמיים עם ישיבה במקום,מזון,בוגרשוב 11 ,"בית אוכל הגשת בורקסים מוכנים ממקור מאושר כחוק הכלים חד פעמיים עם ישיבה במקום,","(32.07753, 34.768818)"
1912,"מסגריית נווה צבי בע""מ",מסגריה.,"תעשיה, כימיה, מחצב",אברבנאל 15 ,"מסגריה.,","(31.7750499, 35.2137151)"
1913,מינמרקט הבימה,מכלת + מכירת מצרכי מזון קפואים ומכירת בשר קפוא (מחסן חיצוני שייך למכלת ברח' בורוכוב 44 בתיק ר' 65032).,מזון,אחד העם 95 ,"מכלת + מכירת מצרכי מזון קפואים ומכירת בשר קפוא (מחסן חיצוני שייך למכלת ברח' בורוכוב 44 בתיק ר' 65032).,מכירת פירות וירקות.,","(32.071337, 34.778014)"
1914,ברוטשילד,מזנון להכנה והגשת כריכים חביתות תה וקפה (מחסן חיצוני בתיק רשוי 66476 ברח' בלפור 59).העסק נמצא במרכז השדרה.,מזון,"מזא""ה 42 ","מזנון להכנה והגשת כריכים חביתות תה וקפה (מחסן חיצוני בתיק רשוי 66476 ברח' בלפור 59).העסק נמצא במרכז השדרה.,","(32.0660832, 34.7765232)"
1916,מאמאלא,"בית אוכל להכנת והגשת סלטים הכנת כריכים בישול עגבניות וירקות,פסטה , הכנת והגשת קישים טוסטים ולזניות מלווחים וגחנונים משקאות קלים ומשקאות חמים-לרבות צריכת משקאות משכרים במקום .",מזון,אלנבי 47 ,"בית אוכל להכנת והגשת סלטים הכנת כריכים בישול עגבניות וירקות,פסטה , הכנת והגשת קישים טוסטים ולזניות מלווחים וגחנונים משקאות קלים ומשקאות חמים-לרבות צריכת משקאות משכרים במקום .,","(32.070287, 34.77046)"
1917,קפה ג'אבה,בית קפה לרבות הגשת משקאות משכרים במקום,מזון,בן יהודה 196 ,"בית קפה לרבות הגשת משקאות משכרים במקום,","(32.089661, 34.774059)"
1918,פיצה  בוגרשוב,"בית אוכל להכנה והגשת פיצה, לרבות משלוחים ע""י קטנועים.",מזון,בוגרשוב 13 ,"בית אוכל להכנה והגשת פיצה, לרבות משלוחים ע""י קטנועים.,","(32.077392, 34.769118)"
1919,בר גוריון,מסעדה (ללא דגים לא אפיה)- לרבות צריכת משקאות משכרים במקום,מזון,אבן גבירול 82 ,"מסעדה (ללא דגים לא אפיה)- לרבות צריכת משקאות משכרים במקום,","(32.081884, 34.781483)"
1920,דייויס,"מסעדה (ללא דגים ) אפית דברי מאפה  טורטיות ופוקציות לצריכה עצמית בלבד- לרבות צריכת משקאות משכרים במקום
",מזון,בגין מנחם 27 ,"מסעדה (ללא דגים ) אפית דברי מאפה  טורטיות ופוקציות לצריכה עצמית בלבד- לרבות צריכת משקאות משכרים במקום
,","(32.9606, 35.5132328)"
1922,החמניה,מכירת בוטנים        וגרעינים,מזון,דיזנגוף 169 ,"מכירת משקאות קלים ממתקים גלידות עוגות סיגריות,מכירת פירות יבשים ומצרך משקה,מכירת בוטנים וגרעינים,","(32.084184, 34.774087)"
